CustomerID,Product,TransactionID,Gender,Quantity,Amount,City,SalesTime,Category
CID00056,iPhone 14,TX000056,Female,9,469.6,Hawassa,2024-01-03 07:00:00,Electronics
CID00057,Samsung Smartwatch,TX000057,Female,9,208.22,Jimma,2024-01-03 08:00:00,Electronics
CID00058,Sony Bravia 4K TV,TX000058,Male,4,482.89,Jimma,2024-01-03 09:00:00,Electronics
CID00059,KitchenAid Mixer,TX000059,Female,2,299.67,Addis Ababa,2024-01-03 10:00:00,Home Appliances
CID00060,Nike Air Max,TX000060,Female,2,144.87,Addis Ababa,2024-01-03 11:00:00,Clothing
CID00061,Fossil Watch,TX000061,Male,5,209.86,Addis Ababa,2024-01-03 12:00:00,Accessories
CID00062,L’Oreal Face Cream,TX000062,Female,1,55.99,Adama,2024-01-03 13:00:00,Beauty
CID00063,Oculus Quest 2,TX000063,Male,7,274.76,Hawassa,2024-01-03 14:00:00,Electronics
CID00064,Seiko Watch,TX000064,Female,3,374.83,Bahir Dar,2024-01-03 15:00:00,Accessories
CID00065,Harry Potter Box Set,TX000065,Male,7,199.49,Dire Dawa,2024-01-03 16:00:00,Books
CID00066,Blender Bottle,TX000066,Female,6,268.29,Dire Dawa,2024-01-03 17:00:00,Groceries
CID00067,Bose SoundLink Speaker,TX000067,Female,9,160.99,Addis Ababa,2024-01-03 18:00:00,Electronics
CID00068,KitchenAid Mixer,TX000068,Male,4,87.77,Jimma,2024-01-03 19:00:00,Home Appliances
CID00069,iPhone 14,TX000069,Male,7,258.1,Jimma,2024-01-03 20:00:00,Electronics
CID00070,Sony PlayStation 5,TX000070,Male,9,41.3,Adama,2024-01-03 21:00:00,Toys
CID00071,Desk Organizer,TX000071,Male,2,91.89,Dire Dawa,2024-01-03 22:00:00,Office Supplies
CID00072,Sony Bravia 4K TV,TX000072,Male,6,414.05,Hawassa,2024-01-03 23:00:00,Electronics
CID00073,Apple Watch Series 8,TX000073,Female,8,112.55,Hawassa,2024-01-04 00:00:00,Electronics
CID00074,Jabra Elite 75t,TX000074,Female,4,412.71,Dire Dawa,2024-01-04 01:00:00,Electronics
CID00075,Maybelline Mascara,TX000075,Female,5,329.43,Addis Ababa,2024-01-04 02:00:00,Beauty
CID00076,LG Refrigerator,TX000076,Female,6,268.33,Addis Ababa,2024-01-04 03:00:00,Home Appliances
CID00077,Bose SoundLink Speaker,TX000077,Male,9,421.03,Hawassa,2024-01-04 04:00:00,Electronics
CID00078,Jabra Elite 75t,TX000078,Female,7,96.61,Dire Dawa,2024-01-04 05:00:00,Electronics
CID00079,Bose QuietComfort 35,TX000079,Female,2,81.9,Addis Ababa,2024-01-04 06:00:00,Electronics
CID00080,Apple Watch Series 8,TX000080,Female,2,70.26,Adama,2024-01-04 07:00:00,Electronics
CID00081,LG Refrigerator,TX000081,Female,7,233.13,Hawassa,2024-01-04 08:00:00,Home Appliances
CID00082,Bose QuietComfort 35,TX000082,Male,1,14.41,Adama,2024-01-04 09:00:00,Electronics
CID00083,Asus ROG Gaming Laptop,TX000083,Female,8,216.1,Jimma,2024-01-04 10:00:00,Electronics
CID00084,Puma Running Shoes,TX000084,Male,5,299.73,Adama,2024-01-04 11:00:00,Clothing
CID00085,Seiko Watch,TX000085,Male,8,95.19,Jimma,2024-01-04 12:00:00,Accessories
CID00086,Desk Organizer,TX000086,Male,7,12.81,Adama,2024-01-04 13:00:00,Office Supplies
CID00087,Dell XPS 13 Laptop,TX000087,Male,7,444.53,Hawassa,2024-01-04 14:00:00,Electronics
CID00088,Asus ROG Gaming Laptop,TX000088,Male,7,65.22,Addis Ababa,2024-01-04 15:00:00,Electronics
CID00089,LG Refrigerator,TX000089,Male,4,126.81,Bahir Dar,2024-01-04 16:00:00,Home Appliances
CID00090,Under Armour Hoodie,TX000090,Female,8,282.58,Adama,2024-01-04 17:00:00,Clothing
CID00091,Office Chair,TX000091,Male,6,165.66,Bahir Dar,2024-01-04 18:00:00,Furniture
CID00092,Vitamix Blender,TX000092,Female,6,232.08,Addis Ababa,2024-01-04 19:00:00,Home Appliances
CID00093,Oculus Quest 2,TX000093,Female,4,291.07,Bahir Dar,2024-01-04 20:00:00,Electronics
CID00094,Nike T-Shirt,TX000094,Female,4,47.17,Adama,2024-01-04 21:00:00,Clothing
CID00095,Monopoly Board Game,TX000095,Male,5,421.62,Addis Ababa,2024-01-04 22:00:00,Toys
CID00096,Philips Hue Smart Bulbs,TX000096,Female,8,37.34,Bahir Dar,2024-01-04 23:00:00,Home Appliances
CID00097,Canon EOS R5 Camera,TX000097,Male,2,258.58,Adama,2024-01-05 00:00:00,Electronics
CID00098,Canon EOS R5 Camera,TX000098,Male,3,361.45,Hawassa,2024-01-05 01:00:00,Electronics
CID00099,Nike T-Shirt,TX000099,Male,8,297.69,Dire Dawa,2024-01-05 02:00:00,Clothing
CID00100,Puma Running Shoes,TX000100,Female,7,154.73,Dire Dawa,2024-01-05 03:00:00,Clothing
CID00101,TCL Smart TV,TX000101,Female,1,355.96,Adama,2024-01-05 04:00:00,Electronics
CID00102,LG Refrigerator,TX000102,Female,9,249.15,Hawassa,2024-01-05 05:00:00,Home Appliances
CID00103,Nintendo Switch,TX000103,Male,9,128.19,Addis Ababa,2024-01-05 06:00:00,Toys
CID00104,Dell XPS 13 Laptop,TX000104,Female,7,430.35,Bahir Dar,2024-01-05 07:00:00,Electronics
CID00105,Nike T-Shirt,TX000105,Female,5,383.86,Hawassa,2024-01-05 08:00:00,Clothing
CID00106,Fitbit Charge 5,TX000106,Female,9,441.12,Addis Ababa,2024-01-05 09:00:00,Electronics
CID00107,Apple Watch Series 8,TX000107,Female,2,422.07,Dire Dawa,2024-01-05 10:00:00,Electronics
CID00108,GoPro Hero 11,TX000108,Female,1,207.37,Addis Ababa,2024-01-05 11:00:00,Electronics
CID00109,LG Refrigerator,TX000109,Female,6,118.59,Addis Ababa,2024-01-05 12:00:00,Home Appliances
CID00110,Desk Organizer,TX000110,Female,4,325.89,Hawassa,2024-01-05 13:00:00,Office Supplies
CID00111,Oculus Quest 2,TX000111,Female,9,269.19,Hawassa,2024-01-05 14:00:00,Electronics
CID00112,Office Chair,TX000112,Male,8,130.33,Dire Dawa,2024-01-05 15:00:00,Furniture
CID00113,Nike T-Shirt,TX000113,Female,5,244.01,Bahir Dar,2024-01-05 16:00:00,Clothing
CID00114,Philips Hue Smart Bulbs,TX000114,Female,8,469.19,Bahir Dar,2024-01-05 17:00:00,Home Appliances
CID00115,Jabra Elite 75t,TX000115,Male,7,329.0,Dire Dawa,2024-01-05 18:00:00,Electronics
CID00116,Nike Air Max,TX000116,Male,9,140.53,Hawassa,2024-01-05 19:00:00,Clothing
CID00117,Philips Hue Smart Bulbs,TX000117,Female,7,421.59,Bahir Dar,2024-01-05 20:00:00,Home Appliances
CID00118,GoPro Hero 11,TX000118,Male,9,371.18,Dire Dawa,2024-01-05 21:00:00,Electronics
CID00119,Sony Bravia 4K TV,TX000119,Male,2,441.5,Hawassa,2024-01-05 22:00:00,Electronics
CID00120,Monopoly Board Game,TX000120,Male,3,138.36,Dire Dawa,2024-01-05 23:00:00,Toys
CID00121,Yoga Mat,TX000121,Male,5,154.58,Jimma,2024-01-06 00:00:00,Sports
CID00122,Jabra Elite 75t,TX000122,Female,9,69.34,Dire Dawa,2024-01-06 01:00:00,Electronics
CID00123,Vitamix Blender,TX000123,Female,9,354.42,Hawassa,2024-01-06 02:00:00,Home Appliances
CID00124,Wilson Tennis Racket,TX000124,Female,6,289.68,Hawassa,2024-01-06 03:00:00,Sports
CID00125,Vitamix Blender,TX000125,Female,7,451.23,Addis Ababa,2024-01-06 04:00:00,Home Appliances
CID00126,GoPro Hero 11,TX000126,Female,8,252.8,Jimma,2024-01-06 05:00:00,Electronics
CID00127,Harry Potter Box Set,TX000127,Female,5,310.92,Adama,2024-01-06 06:00:00,Books
CID00128,Adidas Ultraboost,TX000128,Female,5,473.89,Dire Dawa,2024-01-06 07:00:00,Clothing
CID00129,Adidas Ultraboost,TX000129,Male,9,21.28,Addis Ababa,2024-01-06 08:00:00,Clothing
CID00130,iPhone 14,TX000130,Male,9,353.29,Hawassa,2024-01-06 09:00:00,Electronics
CID00131,Seiko Watch,TX000131,Male,2,478.04,Addis Ababa,2024-01-06 10:00:00,Accessories
CID00132,Under Armour Hoodie,TX000132,Male,7,236.77,Hawassa,2024-01-06 11:00:00,Clothing
CID00133,Oculus Quest 2,TX000133,Female,5,290.12,Jimma,2024-01-06 12:00:00,Electronics
CID00134,Nintendo Switch,TX000134,Female,4,375.6,Dire Dawa,2024-01-06 13:00:00,Toys
CID00135,GoPro Hero 11,TX000135,Male,1,453.78,Addis Ababa,2024-01-06 14:00:00,Electronics
CID00136,Under Armour Hoodie,TX000136,Male,7,96.02,Hawassa,2024-01-06 15:00:00,Clothing
CID00137,Puma Running Shoes,TX000137,Male,4,254.54,Addis Ababa,2024-01-06 16:00:00,Clothing
CID00138,Oculus Quest 2,TX000138,Male,2,147.32,Jimma,2024-01-06 17:00:00,Electronics
CID00139,Apple Watch Series 8,TX000139,Female,2,42.32,Bahir Dar,2024-01-06 18:00:00,Electronics
CID00140,Nike Air Max,TX000140,Male,4,332.72,Addis Ababa,2024-01-06 19:00:00,Clothing
CID00141,Levi’s Jacket,TX000141,Male,5,130.31,Jimma,2024-01-06 20:00:00,Clothing
CID00142,Yoga Mat,TX000142,Female,6,306.46,Jimma,2024-01-06 21:00:00,Sports
CID00143,Vitamix Blender,TX000143,Female,5,117.16,Dire Dawa,2024-01-06 22:00:00,Home Appliances
CID00144,iPhone 14,TX000144,Male,8,172.05,Addis Ababa,2024-01-06 23:00:00,Electronics
CID00145,Nike T-Shirt,TX000145,Male,8,96.9,Bahir Dar,2024-01-07 00:00:00,Clothing
CID00146,GoPro Hero 11,TX000146,Male,4,76.28,Adama,2024-01-07 01:00:00,Electronics
CID00147,iPhone 14,TX000147,Female,8,394.28,Jimma,2024-01-07 02:00:00,Electronics
CID00148,Bose QuietComfort 35,TX000148,Female,2,470.61,Jimma,2024-01-07 03:00:00,Electronics
CID00149,Dell XPS 13 Laptop,TX000149,Male,9,256.71,Dire Dawa,2024-01-07 04:00:00,Electronics
CID00150,Wilson Tennis Racket,TX000150,Female,1,20.26,Addis Ababa,2024-01-07 05:00:00,Sports
CID00151,Sony PlayStation 5,TX000151,Female,1,446.66,Hawassa,2024-01-07 06:00:00,Toys
CID00152,Apple Watch Series 8,TX000152,Female,3,281.74,Adama,2024-01-07 07:00:00,Electronics
CID00153,iPhone 14,TX000153,Male,5,137.15,Addis Ababa,2024-01-07 08:00:00,Electronics
CID00154,KitchenAid Mixer,TX000154,Female,5,361.74,Hawassa,2024-01-07 09:00:00,Home Appliances
CID00155,Desk Organizer,TX000155,Male,5,468.36,Bahir Dar,2024-01-07 10:00:00,Office Supplies
CID00156,Car Seat Cover,TX000156,Male,4,281.54,Jimma,2024-01-07 11:00:00,Automotive
CID00157,Samsung Smartwatch,TX000157,Male,8,401.21,Addis Ababa,2024-01-07 12:00:00,Electronics
CID00158,Nike T-Shirt,TX000158,Female,8,352.51,Bahir Dar,2024-01-07 13:00:00,Clothing
CID00159,Seiko Watch,TX000159,Male,8,325.79,Jimma,2024-01-07 14:00:00,Accessories
CID00160,Harry Potter Box Set,TX000160,Female,6,379.99,Jimma,2024-01-07 15:00:00,Books
CID00161,Under Armour Hoodie,TX000161,Male,1,226.8,Hawassa,2024-01-07 16:00:00,Clothing
CID00162,Philips Hue Smart Bulbs,TX000162,Male,2,181.67,Jimma,2024-01-07 17:00:00,Home Appliances
CID00163,Sony PlayStation 5,TX000163,Male,1,269.18,Bahir Dar,2024-01-07 18:00:00,Toys
CID00164,Seiko Watch,TX000164,Male,3,176.45,Jimma,2024-01-07 19:00:00,Accessories
CID00165,Puma Running Shoes,TX000165,Male,1,387.4,Adama,2024-01-07 20:00:00,Clothing
CID00166,Smeg Coffee Machine,TX000166,Male,5,240.23,Bahir Dar,2024-01-07 21:00:00,Home Appliances
CID00167,Nike T-Shirt,TX000167,Male,2,24.89,Adama,2024-01-07 22:00:00,Clothing
CID00168,Philips Hue Smart Bulbs,TX000168,Male,5,255.85,Hawassa,2024-01-07 23:00:00,Home Appliances
CID00169,Adidas Ultraboost,TX000169,Male,2,103.89,Hawassa,2024-01-08 00:00:00,Clothing
CID00170,Puma Running Shoes,TX000170,Male,2,328.77,Dire Dawa,2024-01-08 01:00:00,Clothing
CID00171,Car Seat Cover,TX000171,Female,2,252.35,Dire Dawa,2024-01-08 02:00:00,Automotive
CID00172,Samsung Smartwatch,TX000172,Male,7,122.59,Jimma,2024-01-08 03:00:00,Electronics
CID00173,Philips Hue Smart Bulbs,TX000173,Female,5,279.84,Bahir Dar,2024-01-08 04:00:00,Home Appliances
CID00174,Levi’s Jacket,TX000174,Female,3,205.08,Jimma,2024-01-08 05:00:00,Clothing
CID00175,Nintendo Switch,TX000175,Male,6,270.95,Bahir Dar,2024-01-08 06:00:00,Toys
CID00176,L’Oreal Face Cream,TX000176,Female,2,191.62,Jimma,2024-01-08 07:00:00,Beauty
CID00177,Nike Air Max,TX000177,Male,1,332.3,Hawassa,2024-01-08 08:00:00,Clothing
CID00178,Wilson Tennis Racket,TX000178,Male,9,20.06,Dire Dawa,2024-01-08 09:00:00,Sports
CID00179,LG Refrigerator,TX000179,Female,9,467.48,Dire Dawa,2024-01-08 10:00:00,Home Appliances
CID00180,Levi’s 501 Jeans,TX000180,Female,3,243.38,Jimma,2024-01-08 11:00:00,Clothing
CID00181,Blender Bottle,TX000181,Female,2,167.71,Adama,2024-01-08 12:00:00,Groceries
CID00182,Smeg Coffee Machine,TX000182,Female,5,142.18,Hawassa,2024-01-08 13:00:00,Home Appliances
CID00183,Maybelline Mascara,TX000183,Male,2,352.41,Addis Ababa,2024-01-08 14:00:00,Beauty
CID00184,Dell XPS 13 Laptop,TX000184,Female,8,64.56,Bahir Dar,2024-01-08 15:00:00,Electronics
CID00185,Smeg Coffee Machine,TX000185,Female,3,339.05,Adama,2024-01-08 16:00:00,Home Appliances
CID00186,Bose SoundLink Speaker,TX000186,Male,2,291.15,Addis Ababa,2024-01-08 17:00:00,Electronics
CID00187,Canon EOS R5 Camera,TX000187,Female,2,18.98,Addis Ababa,2024-01-08 18:00:00,Electronics
CID00188,KitchenAid Mixer,TX000188,Male,4,499.15,Dire Dawa,2024-01-08 19:00:00,Home Appliances
CID00189,Oculus Quest 2,TX000189,Male,3,60.28,Jimma,2024-01-08 20:00:00,Electronics
CID00190,Smeg Coffee Machine,TX000190,Female,4,153.99,Adama,2024-01-08 21:00:00,Home Appliances
CID00191,Sony Bravia 4K TV,TX000191,Male,4,299.51,Bahir Dar,2024-01-08 22:00:00,Electronics
CID00192,Seiko Watch,TX000192,Female,8,283.71,Bahir Dar,2024-01-08 23:00:00,Accessories
CID00193,Wilson Tennis Racket,TX000193,Female,6,336.76,Bahir Dar,2024-01-09 00:00:00,Sports
CID00194,Nintendo Switch,TX000194,Female,7,307.95,Jimma,2024-01-09 01:00:00,Toys
CID00195,Bose SoundLink Speaker,TX000195,Male,8,78.75,Jimma,2024-01-09 02:00:00,Electronics
CID00196,Nike T-Shirt,TX000196,Female,4,360.67,Hawassa,2024-01-09 03:00:00,Clothing
CID00197,Levi’s Jacket,TX000197,Male,4,215.4,Dire Dawa,2024-01-09 04:00:00,Clothing
CID00198,Harry Potter Box Set,TX000198,Male,7,169.4,Bahir Dar,2024-01-09 05:00:00,Books
CID00199,Nintendo Switch,TX000199,Male,3,10.7,Bahir Dar,2024-01-09 06:00:00,Toys
CID00200,Adidas Ultraboost,TX000200,Male,7,39.16,Addis Ababa,2024-01-09 07:00:00,Clothing
CID00201,Asus ROG Gaming Laptop,TX000201,Female,8,330.95,Dire Dawa,2024-01-09 08:00:00,Electronics
CID00202,Asus ROG Gaming Laptop,TX000202,Female,3,62.5,Dire Dawa,2024-01-09 09:00:00,Electronics
CID00203,Smeg Coffee Machine,TX000203,Female,6,464.19,Bahir Dar,2024-01-09 10:00:00,Home Appliances
CID00204,Desk Organizer,TX000204,Male,7,147.68,Dire Dawa,2024-01-09 11:00:00,Office Supplies
CID00205,Fitbit Charge 5,TX000205,Male,5,348.1,Jimma,2024-01-09 12:00:00,Electronics
CID00206,Monopoly Board Game,TX000206,Female,5,366.86,Addis Ababa,2024-01-09 13:00:00,Toys
CID00207,Asus ROG Gaming Laptop,TX000207,Female,3,372.61,Addis Ababa,2024-01-09 14:00:00,Electronics
CID00208,Sony Bravia 4K TV,TX000208,Female,9,11.98,Jimma,2024-01-09 15:00:00,Electronics
CID00209,Maybelline Mascara,TX000209,Male,8,218.94,Addis Ababa,2024-01-09 16:00:00,Beauty
CID00210,L’Oreal Face Cream,TX000210,Female,2,32.13,Dire Dawa,2024-01-09 17:00:00,Beauty
CID00211,Samsung Galaxy S23,TX000211,Male,1,51.23,Addis Ababa,2024-01-09 18:00:00,Electronics
CID00212,L’Oreal Face Cream,TX000212,Female,1,467.33,Bahir Dar,2024-01-09 19:00:00,Beauty
CID00213,L’Oreal Face Cream,TX000213,Female,5,185.24,Addis Ababa,2024-01-09 20:00:00,Beauty
CID00214,Adidas Ultraboost,TX000214,Male,8,303.79,Hawassa,2024-01-09 21:00:00,Clothing
CID00215,Levi’s Jacket,TX000215,Female,6,220.16,Dire Dawa,2024-01-09 22:00:00,Clothing
CID00216,Maybelline Mascara,TX000216,Female,1,42.63,Bahir Dar,2024-01-09 23:00:00,Beauty
CID00217,Bose SoundLink Speaker,TX000217,Female,8,49.19,Jimma,2024-01-10 00:00:00,Electronics
CID00218,Oculus Quest 2,TX000218,Female,9,270.0,Dire Dawa,2024-01-10 01:00:00,Electronics
CID00219,LG Refrigerator,TX000219,Female,9,477.91,Jimma,2024-01-10 02:00:00,Home Appliances
CID00220,Harry Potter Box Set,TX000220,Female,4,335.1,Dire Dawa,2024-01-10 03:00:00,Books
CID00221,Car Seat Cover,TX000221,Male,2,361.4,Adama,2024-01-10 04:00:00,Automotive
CID00222,Vitamix Blender,TX000222,Male,3,216.78,Jimma,2024-01-10 05:00:00,Home Appliances
CID00223,Monopoly Board Game,TX000223,Female,6,64.16,Bahir Dar,2024-01-10 06:00:00,Toys
CID00224,iPhone 14,TX000224,Male,1,237.82,Adama,2024-01-10 07:00:00,Electronics
CID00225,Bose SoundLink Speaker,TX000225,Male,9,231.82,Bahir Dar,2024-01-10 08:00:00,Electronics
CID00226,Wilson Tennis Racket,TX000226,Female,2,185.42,Dire Dawa,2024-01-10 09:00:00,Sports
CID00227,LG Refrigerator,TX000227,Male,8,308.48,Bahir Dar,2024-01-10 10:00:00,Home Appliances
CID00228,Adidas Ultraboost,TX000228,Female,5,277.77,Dire Dawa,2024-01-10 11:00:00,Clothing
CID00229,Bose QuietComfort 35,TX000229,Male,6,314.33,Dire Dawa,2024-01-10 12:00:00,Electronics
CID00230,Bose QuietComfort 35,TX000230,Female,8,367.91,Dire Dawa,2024-01-10 13:00:00,Electronics
CID00231,Nike T-Shirt,TX000231,Female,1,449.63,Dire Dawa,2024-01-10 14:00:00,Clothing
CID00232,Nintendo Switch,TX000232,Male,6,142.63,Adama,2024-01-10 15:00:00,Toys
CID00233,Oculus Quest 2,TX000233,Female,3,67.95,Hawassa,2024-01-10 16:00:00,Electronics
CID00234,Desk Organizer,TX000234,Male,4,102.94,Adama,2024-01-10 17:00:00,Office Supplies
CID00235,Levi’s Jacket,TX000235,Female,1,256.26,Dire Dawa,2024-01-10 18:00:00,Clothing
CID00236,GoPro Hero 11,TX000236,Female,8,173.04,Addis Ababa,2024-01-10 19:00:00,Electronics
CID00237,iPhone 14,TX000237,Female,3,216.6,Dire Dawa,2024-01-10 20:00:00,Electronics
CID00238,Sony PlayStation 5,TX000238,Male,7,197.47,Adama,2024-01-10 21:00:00,Toys
CID00239,Levi’s Jacket,TX000239,Male,4,418.32,Dire Dawa,2024-01-10 22:00:00,Clothing
CID00240,Asus ROG Gaming Laptop,TX000240,Female,9,205.1,Adama,2024-01-10 23:00:00,Electronics
CID00241,Car Seat Cover,TX000241,Female,9,203.99,Addis Ababa,2024-01-11 00:00:00,Automotive
CID00242,Canon EOS R5 Camera,TX000242,Male,9,148.28,Jimma,2024-01-11 01:00:00,Electronics
CID00243,Desk Organizer,TX000243,Male,2,313.12,Jimma,2024-01-11 02:00:00,Office Supplies
CID00244,Desk Organizer,TX000244,Male,4,410.59,Addis Ababa,2024-01-11 03:00:00,Office Supplies
CID00245,Fitbit Charge 5,TX000245,Male,4,220.8,Adama,2024-01-11 04:00:00,Electronics
CID00246,Car Seat Cover,TX000246,Male,2,236.77,Addis Ababa,2024-01-11 05:00:00,Automotive
CID00247,Monopoly Board Game,TX000247,Female,5,68.52,Dire Dawa,2024-01-11 06:00:00,Toys
CID00248,L’Oreal Face Cream,TX000248,Male,7,198.43,Bahir Dar,2024-01-11 07:00:00,Beauty
CID00249,Sony PlayStation 5,TX000249,Male,2,452.65,Adama,2024-01-11 08:00:00,Toys
CID00250,Jabra Elite 75t,TX000250,Male,9,152.59,Jimma,2024-01-11 09:00:00,Electronics
CID00251,Puma Running Shoes,TX000251,Male,1,433.0,Jimma,2024-01-11 10:00:00,Clothing
CID00252,Adidas Ultraboost,TX000252,Male,9,472.01,Hawassa,2024-01-11 11:00:00,Clothing
CID00253,Jabra Elite 75t,TX000253,Female,9,300.81,Bahir Dar,2024-01-11 12:00:00,Electronics
CID00254,L’Oreal Face Cream,TX000254,Female,1,36.18,Hawassa,2024-01-11 13:00:00,Beauty
CID00255,Seiko Watch,TX000255,Male,3,341.63,Bahir Dar,2024-01-11 14:00:00,Accessories
CID00256,Canon EOS R5 Camera,TX000256,Female,7,17.47,Jimma,2024-01-11 15:00:00,Electronics
